axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,none,1560,0,0,9.344085695382947e-09,2.500019036233425e-07,0.04480100001092069,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,jacobi,973,0,0,7.317348714569253e-09,4.7209003241732717e-05,0.02803308400325477,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,block_jacobi,824,0,0,9.831734372912541e-09,0.0032484999974258244,0.032606834021862596,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,71,0,0,8.779839575896812e-09,0.0026643330056685954,0.003743792010936886,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,time_averaged_chol,71,0,0,8.790591893696142e-09,0.04690283301169984,0.0033120419830083847,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,4.1981730041636516e-13,0.0004871250130236149,3.1958974432200193e-05,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,direct_cholmod,0,0,0,7.42280656703482e-13,0.00022054201690480113,9.624985978007317e-06,2.912498894147575e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,none,1141,0,0,9.890418518902072e-09,2.9199873097240925e-07,0.03238437499385327,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,jacobi,1203,0,0,9.825605922021e-09,2.970799687318504e-05,0.034410458989441395,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,block_jacobi,1161,0,0,8.876119183438605e-09,0.002678999997442588,0.04666362499119714,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,time_averaged_lu,60,0,0,8.758203217529213e-09,0.0016252500063274056,0.003334125009132549,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,time_averaged_chol,60,0,0,9.693646807764202e-09,0.0013612500042654574,0.002230459009297192,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,direct_splu,0,0,0,1.3229641003686497e-12,0.00042283302173018456,2.8708978788927197e-05,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,1,direct_cholmod,0,0,0,2.2052637778156323e-12,0.00019708299078047276,8.917006198316813e-06,2.6416004402562976e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,none,603,0,0,9.608357541331104e-09,2.9199873097240925e-07,0.01764150001690723,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,jacobi,709,0,0,9.659696368640186e-09,2.3957982193678617e-05,0.020113375008804724,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,block_jacobi,705,0,0,7.361987848619558e-09,0.0026411669969093055,0.028527666989248246,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,time_averaged_lu,48,0,0,8.72429159542166e-09,0.0015662090154364705,0.0026623329904396087,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,time_averaged_chol,48,0,0,7.774315034322599e-09,0.0014332919963635504,0.0018088329816237092,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,direct_splu,0,0,0,4.1317359617073593e-13,0.00043474999256432056,2.7708010748028755e-05,2.6374997105449438e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,7,direct_cholmod,0,0,0,4.4391467219118893e-13,0.00021004199516028166,8.917006198316813e-06,2.6374997105449438e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,none,2474,0,0,7.813283190968683e-09,3.33995558321476e-07,0.09033670800272375,3.350002225488424e-05,nan
