axis,axis_value,n,T,p,sv_sigma,sv_rho,lam,target_radius,seed,preconditioner,iters,status,hit_maxiter,relative_residual,setup_time,solve_time,matvec_time_mean,cond_proxy
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,none,1763,0,0,6.264382746070139e-09,3.7500285543501377e-07,0.03468816699751187,1.8124999769497663e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,jacobi,1036,0,0,7.235561930732974e-09,2.300000051036477e-05,0.020937708002747968,1.8124999769497663e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,block_jacobi,1010,0,0,6.753470647993844e-09,0.0026410419959574938,0.03062741699977778,1.8124999769497663e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,68,0,0,8.039163934249423e-09,0.0035687089985003695,0.0024115409978548996,1.8124999769497663e-05,nan
T,120,5,120,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,6.309940683489047e-13,0.00039141700108302757,1.591700129210949e-05,1.8124999769497663e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,none,2730,0,0,9.559603570151722e-09,2.9199873097240925e-07,0.09386625000479398,2.1749998268205673e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,jacobi,1325,0,0,8.367817795010148e-09,5.887499719392508e-05,0.04667629200412193,2.1749998268205673e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,block_jacobi,1323,0,0,9.224676565517114e-09,0.00510091600153828,0.06966591699892888,2.1749998268205673e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,time_averaged_lu,103,0,0,6.731338317226344e-09,0.005645541998092085,0.007181875000242144,2.1749998268205673e-05,nan
T,240,5,240,2,0.3,0.95,10000.0,0.9,0,direct_splu,0,0,0,5.835669885477416e-13,0.0007009580003796145,3.149999974993989e-05,2.1749998268205673e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,none,1597,0,0,9.537108625067658e-09,2.9199873097240925e-07,0.08033570800034795,4.616699879989028e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,jacobi,1077,0,0,9.913705067094825e-09,4.3542000639718026e-05,0.05453687500266824,4.616699879989028e-05,nan
sv_sigma,0.1,5,480,2,0.1,0.95,10000.0,0.9,0,block_jacobi,1036,0,0,8.915842768134743e-09,0.010217542003374547,0.07278929199674167,4.616699879989028e-05,nan
