axis,axis_value,preconditioner,iters,iters_max,hit_max,rel_res,setup_time,solve_time,matvec_time,T,Tn
T,120.0,block_jacobi,1010.0,1078,0,9.364196758852981e-09,0.0026367499958723,0.0309513339961995,1.7958001990336925e-05,120,600
T,120.0,direct_splu,0.0,0,0,6.309940683489047e-13,0.0003593750006984,1.770900416886434e-05,1.7958001990336925e-05,120,600
T,120.0,jacobi,1036.0,1221,0,8.80311983899041e-09,2.2166997950989753e-05,0.0206007919987314,1.7958001990336925e-05,120,600
T,120.0,none,1147.0,1763,0,9.758300908014687e-09,3.3299875212833285e-07,0.0230972919962368,1.7958001990336925e-05,120,600
T,120.0,time_averaged_lu,59.0,68,0,7.247375950247327e-09,0.0030053340015001,0.0021329590017558,1.7958001990336925e-05,120,600
T,240.0,block_jacobi,1445.0,1524,0,9.224676565517114e-09,0.0050855420049629,0.0728042499977164,2.245799987576902e-05,240,1200
T,240.0,direct_splu,0.0,0,0,1.116839077067261e-12,0.0007395829961751,2.829200093401596e-05,2.245799987576902e-05,240,1200
T,240.0,jacobi,1566.0,1615,0,8.367817795010148e-09,3.516599826980382e-05,0.0542570420002448,2.245799987576902e-05,240,1200
T,240.0,none,1829.0,2730,0,9.559603570151722e-09,3.33995558321476e-07,0.0625230419973377,2.245799987576902e-05,240,1200
T,240.0,time_averaged_lu,83.0,103,0,7.103545473899767e-09,0.005625207995763,0.0059172910041525,2.245799987576902e-05,240,1200
T,480.0,block_jacobi,2214.0,2384,0,9.27681003489328e-09,0.0102152910039876,0.1542347080030595,4.025000089313835e-05,480,2400
T,480.0,direct_splu,0.0,0,0,1.4872510763819734e-12,0.0013835829959134,5.46669980394654e-05,4.025000089313835e-05,480,2400
T,480.0,jacobi,2217.0,2691,0,9.630278501014054e-09,5.216599674895406e-05,0.1122558749993913,4.025000089313835e-05,480,2400
T,480.0,none,2517.0,3977,0,8.117587637954547e-09,2.500019036233425e-07,0.1268221670034108,4.025000089313835e-05,480,2400
T,480.0,time_averaged_lu,149.0,162,0,8.784985295768054e-09,0.0113825000007636,0.0153745420029736,4.025000089313835e-05,480,2400
T,960.0,block_jacobi,2688.0,3486,0,8.26524718693322e-09,0.0204440840025199,0.3465465839981334,6.733299960615113e-05,960,4800
T,960.0,direct_splu,0.0,0,0,1.2155511780404638e-12,0.0028073330031475,0.0001183749991469,6.733299960615113e-05,960,4800
T,960.0,jacobi,2751.0,3688,0,9.783532901806938e-09,0.0001203749998239,0.2557850830053212,6.733299960615113e-05,960,4800
T,960.0,none,3266.0,4779,0,8.51167550810518e-09,3.330060280859471e-07,0.2860752500055241,6.733299960615113e-05,960,4800
T,960.0,time_averaged_lu,154.0,175,0,9.247688345694153e-09,0.0215467499947408,0.029550040999311,6.733299960615113e-05,960,4800
T,1920.0,block_jacobi,3469.0,4559,0,9.82914872985928e-09,0.0407492500016815,0.7089142919940059,0.0001112089958041,1920,9600
T,1920.0,direct_splu,0.0,0,0,1.2141779723040377e-12,0.0056232920032925,0.0002166670019505,0.0001112089958041,1920,9600
T,1920.0,jacobi,3569.0,4745,0,9.139450982176911e-09,0.0001368750017718,0.5147262079990469,0.0001112089958041,1920,9600
T,1920.0,none,4452.0,5517,0,9.541433533842429e-09,5.00003807246685e-07,0.6296643329988001,0.0001112089958041,1920,9600
T,1920.0,time_averaged_lu,194.0,228,0,8.959126008975991e-09,0.0440431669994723,0.0719173749967012,0.0001112089958041,1920,9600
lam,100.0,block_jacobi,447.0,486,0,9.156669379461386e-09,0.0102700839997851,0.0302074999999604,4.370899841887877e-05,480,2400
lam,100.0,direct_splu,0.0,0,0,1.7845871170154877e-14,0.0014015000051585,5.491599586093798e-05,4.370899841887877e-05,480,2400
lam,100.0,jacobi,470.0,487,0,9.485623191885425e-09,4.2833002225961536e-05,0.0230429579969495,4.370899841887877e-05,480,2400
lam,100.0,none,1021.0,1349,0,9.472128121132628e-09,3.749955794773996e-07,0.0492278329984401,4.370899841887877e-05,480,2400
lam,100.0,time_averaged_lu,149.0,156,0,8.755130189094274e-09,0.011200208995433,0.015172542000073,4.370899841887877e-05,480,2400
