n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,2,2400,0.1,0.95,10000.0,0.9,0,direct_cholmod,ok,0.003810833004536107,0.0006613750010728836,4.1457999031990767e-05,0.0045136660046409816,0,0,7.355927028400175e-13,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,0,direct_splu,ok,0.0037292079941835254,0.0013089169806335121,9.83749923761934e-05,0.005136499967193231,0,0,5.742808569037958e-13,26325,60000,960000.0,795,69144,0
5,480,2,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.003703291993588209,0.0006349999748636037,0.0020219580037519336,0.0063602499722037464,24,0,9.008911333923155e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.406583987176418e-05,1.2699999497272073e-05,0.0020219580037519336,0.00210872384312097,24,0,9.008911333923155e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,direct_cholmod,ok,0.00360587501199916,0.0006489579973276705,2.7874979423359036e-05,0.0042827079887501895,0,0,1.9039168325875452e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,direct_splu,ok,0.00356212499900721,0.0012975420104339719,0.00010199999087490141,0.004961667000316083,0,0,1.2907156914865421e-12,26325,60000,960000.0,795,69144,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.003697458014357835,0.0006385000015143305,0.0018249170097988099,0.0061608750256709754,22,0,4.347241677845349e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.39491602871567e-05,1.277000003028661e-05,0.0018249170097988099,0.001911636170116253,22,0,4.347241677845349e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,direct_cholmod,ok,0.003633667016401887,0.0006905409973114729,2.7583009796217084e-05,0.004351791023509577,0,0,6.370693123689746e-13,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,direct_splu,ok,0.0036455829977057874,0.0012814580113627017,0.00010050000855699182,0.005027541017625481,0,0,4.930785701575763e-13,26325,60000,960000.0,795,69144,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.0037568749976344407,0.0006090409879107028,0.001968374999705702,0.0063342909852508456,24,0,4.459039763192286e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.1,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.513749995268881e-05,1.2180819758214057e-05,0.001968374999705702,0.002055693319416605,24,0,4.459039763192286e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.003927499987185001,0.0006263329996727407,3.024999750778079e-05,0.004584082984365523,0,0,1.0148559588640863e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.0036178340087644756,0.0014592079969588667,9.50000248849392e-05,0.0051720420306082815,0,0,8.485091179289236e-13,26325,60000,960000.0,795,73243,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.0037156670005060732,0.000636665994534269,0.012081499997293577,0.01643383299233392,150,0,9.34611029650272e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.431334001012146e-05,1.2733319890685379e-05,0.012081499997293577,0.012168546657194383,150,0,9.34611029650272e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.003771999996388331,0.0006213340093381703,2.9082992114126682e-05,0.004422416997840628,0,0,2.2674379510735677e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,direct_splu,ok,0.0037178329948801547,0.0014552920183632523,0.00010270799975842237,0.005275833013001829,0,0,1.7729637275713841e-12,26325,60000,960000.0,795,72462,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.0037543750077020377,0.0006108749948907644,0.009448790980968624,0.013814040983561426,116,0,7.692300409613758e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.508750015404075e-05,1.2217499897815286e-05,0.009448790980968624,0.00953609598102048,116,0,7.692300409613758e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.0035592499771155417,0.0006345829751808196,2.5540997739881277e-05,0.004219373950036243,0,0,1.5913211086265775e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,direct_splu,ok,0.00355316698551178,0.0015981670003384352,0.00010237499373033643,0.005253708979580551,0,0,1.446818554653124e-12,26325,60000,960000.0,795,75164,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.003696375002618879,0.0006467500061262399,0.01089854200836271,0.01524166701710783,136,0,9.76225087545071e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.392750005237758e-05,1.2935000122524797e-05,0.01089854200836271,0.010985404508537612,136,0,9.76225087545071e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0036637919838540256,0.0006395420059561729,2.9207993065938354e-05,0.004332541982876137,0,0,2.9188555366415467e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,direct_splu,ok,0.0035682920133695006,0.0018892910156864673,0.00010066700633615255,0.0055582500353921205,0,0,2.5596621640756563e-12,26325,60000,960000.0,795,81852,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.0036645839863922447,0.0006136669835541397,0.06143304199213162,0.065711292962078,781,0,9.671126772041113e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,7.329167972784489e-05,1.2273339671082794e-05,0.06143304199213162,0.06151860701153055,781,0,9.671126772041113e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.5,0.95,10000.0,0.9,1,direct_cholmod,ok,0.003682541020680219,0.0006386250024661422,2.970799687318504e-05,0.004350874020019546,0,0,5.105965561925442e-12,26325,60000,960000.0,795,32238,0
