n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,L_factor_nnz,skip_direct
5,480,2,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.00973833299940452,0.000640500002191402,3.920799645129591e-05,0.010418040998047218,0,0,1.369885782291871e-12,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.00963354099803837,0.0014459170051850379,0.00010012499842559919,0.011179583001649007,0,0,8.553477569968163e-13,26325,60000,960000.0,795,72926,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol,ok,0.009741832996951416,0.000582042004680261,0.009840083002927713,0.02016395800455939,148,0,9.50379286760317e-09,26325,60000,960000.0,795,32238,0
5,480,2,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.00019483665993902833,1.164084009360522e-05,0.009840083002927713,0.010046560502960347,148,0,9.50379286760317e-09,26325,60000,960000.0,795,32238,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.04303579100087518,0.005128500000864733,0.00010729199857451022,0.04827158300031442,0,0,8.736038772655865e-13,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.043149249999260064,0.00783962500281632,0.00017833300080383196,0.051167208002880216,0,0,1.0535659066239228e-12,144450,300000,4800000.0,795,332335,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol,ok,0.04355954200582346,0.003893042005074676,0.03205574999446981,0.07950833400536794,123,0,9.380578962579053e-09,144450,300000,4800000.0,795,160975,0
5,480,12,2400,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_frozen_amortized_50,derived_best_case,0.0008711908401164692,7.786084010149353e-05,0.03205574999446981,0.03300480167468777,123,0,9.380578962579053e-09,144450,300000,4800000.0,795,160975,0
5,1920,2,9600,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.03815924999798881,0.00252491699939128,0.00012104199413442984,0.04080520899151452,0,0,1.6989862141900264e-12,105525,240000,3840000.0,3195,129198,0
5,1920,2,9600,0.3,0.95,10000.0,0.9,0,direct_splu,ok,0.03867212499608286,0.0057549170014681295,0.00039599999581696466,0.04482304199336795,0,0,1.247766885780018e-12,105525,240000,3840000.0,3195,291185,0
