n,T,p,Tn,sv_sigma,sv_rho,lam,target_radius,seed,path,status,phase1_assembly_time,phase2_factor_time,phase3_solve_time,total_time,iters,hit_maxiter,relative_residual,L_factor_nnz,bandwidth_u,banded_ab_bytes,banded_factor_bytes,H_B_nnz,Kbar_nnz_estimate,Kbar_csr_bytes_estimate,M_m_nnz,skip_direct,banded_total_bytes_estimate,skip_banded
3,20,2,60,0.3,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0010509160056244582,0.0018518749857321382,0.0004888749972451478,0.003391665988601744,0,0,1.1482571009351038e-12,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,0,pcg_time_avg_chol_explicit_avgK,ok,0.0005748750118073076,3.9292004657909274e-05,0.0011681250180117786,0.0017822920344769955,25,0,6.564091330723302e-09,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,0,pcg_banded_time_avg_precision_chol,ok,0.0010119999933522195,0.0009129589889198542,0.0013121669762767851,0.0032371259585488588,25,0,6.5632901646304804e-09,-1,12,6240,6240,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,1,direct_cholmod,ok,0.0005814580072183162,3.9083999581635e-05,4.499976057559252e-06,0.0006250419828575104,0,0,1.7044211642484548e-12,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,1,pcg_time_avg_chol_explicit_avgK,ok,0.00047287499182857573,2.6749999960884452e-05,0.0004610419855453074,0.0009606669773347676,17,0,6.245357186598758e-09,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,1,pcg_banded_time_avg_precision_chol,ok,0.00038133299676701427,1.8125021597370505e-05,0.0005424589908216149,0.0009419170091859996,17,0,6.244246387142095e-09,-1,12,6240,6240,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,7,direct_cholmod,ok,0.0004064170061610639,2.2333988454192877e-05,2.916989615187049e-06,0.00043166798423044384,0,0,5.796415763969057e-13,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,7,pcg_time_avg_chol_explicit_avgK,ok,0.00040941699990071356,1.9166996935382485e-05,0.0005861669778823853,0.0010147509747184813,24,0,4.8389691703618536e-09,478,-1,-1,-1,393,900,14400.0,25,0,8640,0
3,20,2,60,0.3,0.95,10000.0,0.9,7,pcg_banded_time_avg_precision_chol,ok,0.0003307919832877815,1.058299676515162e-05,0.0007334589899983257,0.0010748339700512588,24,0,4.838919704930047e-09,-1,12,6240,6240,393,900,14400.0,25,0,8640,0
5,30,3,150,0.5,0.95,10000.0,0.9,0,direct_cholmod,ok,0.0005564999883063138,7.974999607540667e-05,4.583998816087842e-06,0.0006408339831978083,0,0,6.223017925273718e-13,2591,-1,-1,-1,2250,5250,84000.0,45,0,48000,0
